date,customer_id,product,quantity,price,customer_region,notes
2025-01-15,1001,laptop,1,1299.99,North America,First purchase
2025-01-16,1002,monitor,2,349.5,north america,Customer requested expedited shipping
2025-01-16,1002,keyboard,1,89.99,north america,
2025-01-17,,mouse,3,24.99,Europe,Phone order
2025-01-18,1004,laptop,,1199.99,europe,Discount applied
2025-01-19,1005,monitor,1,349.5,Asia,
2025-01-20,1006,monitor,2,345.99,Asia,Special order
2025-01-21,1007,laptop,1,,North America,
2025-01-21,1007,keyboard,1,89.99,North America,Bundle discount
2025-01-22,1008,mouse,-3,24.99,Europe,Return process
2025/01/22,1009,laptop,1,1299.99,Asia,
2025-01-23,1010,monitor,N/A,349.5,Europe,Stock check needed
2025-01-24,1011,keyboard,2,89.99,North america,
2025-01-25,1012,monitor,2,349.5,north America,Store pickup
2025-01-26,1001,mouse,5,24.99,North America,Bulk order discount
2025-01-27,1013,monitor,2,349.5,Unknown,New client
2025-01-28,1014,laptop,1,1299.99,Europe,Extended warranty
2025-01-29,1015,keyboard,1,89.99,Asiaa,Typo in region
2025-01-30,1008,mouse,3,24.99,Europe,
2025-01-31,1016,laptop,1,1299.99,,International shipping
